X,Y,ogc_fid,fid,osm_id,code,fclass,name
16.9031293,51.1700195,112,128,"1521090728",5601,railway_station,Wrocław Pracze
16.9522088,51.1280409,113,129,"1522175250",5601,railway_station,Wrocław Kuźniki
16.9406255,51.1370304,114,130,"1540736104",5602,railway_halt,Wrocław Stadion
15.0350975,51.2251921,115,131,"1571318397",5602,railway_halt,Lasów
15.2994817,51.2701185,116,132,"1571318418",5602,railway_halt,Zagajnik
15.6573613,50.8639918,117,133,"1587493224",5602,railway_halt,Jelenia Góra Orle
16.7396367,51.1882562,118,134,"1588340145",5601,railway_station,Miękinia
16.7939604,51.1836648,119,135,"1588340235",5602,railway_halt,Mrozów
15.7559869,50.9025882,120,136,"1642733781",5601,railway_station,Jelenia Góra
16.1586891,51.1251361,121,137,"1729229709",5602,railway_halt,Przybyłowice
16.161244,51.0789822,122,138,"1729229718",5602,railway_halt,Stary Jawor
16.3141395,51.2151038,123,139,"1729229742",5602,railway_halt,Jaśkowice Legnickie
16.3506934,51.2151482,124,140,"1729229743",5602,railway_halt,Szczedrzykowice
16.6065372,51.18943,125,141,"1733534762",5602,railway_halt,Środa Śląska
16.7732632,50.6787662,126,142,"1744509719",5601,railway_station,Piława Górna
16.1335897,51.6447811,127,143,"1749572286",5601,railway_station,Krzepów
15.9922495,51.6754215,128,144,"1749572287",5602,railway_halt,Głogów Huta
15.6852449,50.8697521,129,145,"1779135843",5602,railway_halt,Jelenia Góra Cieplice
15.6452871,50.8517332,130,146,"1779137875",5602,railway_halt,Jelenia Góra Sobieszów
17.210066,51.0357525,131,147,"1779319907",5602,railway_halt,Zakrzów Kotowice
17.1576886,51.1035379,132,148,"1796274362",5602,railway_halt,Wrocław Wojnów
17.1188187,51.2336489,133,149,"1803599530",5602,railway_halt,Siedlec Trzebnicki
17.1620734,51.0066673,134,150,"1817597365",5602,railway_halt,Zębice Wrocławskie
15.7785663,51.2709572,135,151,"1843449477",5601,railway_station,Okmiany
15.847267,51.2618088,136,152,"1843449478",5602,railway_halt,Osetnica
16.6567711,50.4513332,137,153,"1854218754",5601,railway_station,Kłodzko Główne
16.658236,50.4345956,138,154,"1854224907",5601,railway_station,Kłodzko Miasto
16.660991,50.9109926,139,155,"1855369358",5602,railway_halt,Strzelce Świdnickie
16.2746913,50.4055371,140,156,"1864491167",5602,railway_halt,Lewin Kłodzki
15.1766348,51.401063,141,157,"1870143073",5601,railway_station,Ruszów
16.6378568,50.2384702,142,158,"1883818044",5602,railway_halt,Długopole-Zdrój
15.7051811,50.8876763,143,160,"1945859651",5602,railway_halt,Jelenia Góra Przemysłowa
16.9271182,51.2471851,144,161,"1947166706",5602,railway_halt,Pęgów
16.0546142,51.2555649,145,163,"2003255314",5601,railway_station,Miłkowice
16.0975929,51.2356821,146,164,"2003256675",5602,railway_halt,Jezierzany
17.3637981,51.2705063,147,165,"2003309188",5601,railway_station,Dobroszyce
17.403474,51.34322,148,166,"2003311924",5601,railway_station,Grabowno Wielkie
17.5832169,51.3881714,149,167,"2003312767",5601,railway_station,Bukowina Sycowska
17.3526175,51.6313553,150,170,"2003357914",5602,railway_halt,Cieszków
17.368541,51.3995076,151,171,"2003364457",5601,railway_station,Bukowice Trzebnickie
16.6050534,50.4755377,152,172,"2075243777",5602,railway_halt,Bierkowice
16.5095171,50.6120442,153,173,"2075261949",5602,railway_halt,Nowa Ruda Zdrojowisko
16.4324995,50.6323853,154,174,"2075274330",5602,railway_halt,Świerki Dolne
16.4079523,50.6419372,155,175,"2075289365",5602,railway_halt,Bartnica
16.3430171,50.7115424,156,176,"2075308765",5601,railway_station,Jedlina-Zdrój
16.1984434,51.0550466,157,177,"2126723884",5601,railway_station,Jawor
16.3253301,51.0084324,158,178,"2126759021",5602,railway_halt,Goczałków
15.7616497,50.7825021,159,179,"2136783800",5601,railway_station,Karpacz
15.6458441,50.9104773,160,180,"2146199426",5602,railway_halt,Rybnica
15.5036777,50.9242122,161,181,"2146200143",5602,railway_halt,Kwieciszowice
15.456031,50.9482194,162,182,"2146200222",5601,railway_station,Rębiszów
15.4504497,50.9895358,163,183,"2146200485",5602,railway_halt,Młyńsko
15.4289759,51.0339789,164,184,"2146200605",5601,railway_station,Gryfów Śląski
15.3806451,51.06969,165,185,"2146201101",5602,railway_halt,Olszyna Lubańska
15.1556959,51.0908483,166,186,"2146201760",5602,railway_halt,Batowice Lubańskie
15.0609584,51.1277582,167,187,"2146202129",5601,railway_station,Jerzmanki
15.8932471,51.3354313,168,188,"2146569078",5601,railway_station,Rokitki
15.7587841,51.3969375,169,189,"2146570557",5602,railway_halt,Wierzbowa Śląska
